source,confidence,target,weight
GATA2,A,ANGPT2,1.0
SP1,A,NFKB1,1.0
FOXP1,A,CSF1R,1.0
SPI1,A,B2M,1.0
FOXL2,A,IER3,1.0
FOXL2,A,FSHB,1.0
FOXL2,A,FOS,1.0
FOXL2,A,CYP19A1,-1.0
FOXL2,A,CYP17A1,1.0
FOXL2,A,CXCL3,1.0
FOXL2,A,CXCL2,1.0
FOXL2,A,CH25H,1.0
FOXL2,A,CCL3L1,1.0
FOXL2,A,CCL3,1.0
FOXL2,A,CCL20,1.0
FOXL2,A,BCL2A1,1.0
FOXL2,A,ATF3,1.0
FOXL2,A,AMH,1.0
FOXF1,A,GH2,1.0
FOXD3,A,ZNF175,-1.0
FOXA3,A,CYP2C9,1.0
FOXA3,A,CYP2C8,1.0
FOXA3,A,CYP2C19,1.0
FOXA2,A,TTR,1.0
FOXA2,A,PDX1,1.0
FOXA2,A,MUC4,1.0
FOXA2,A,HHEX,1.0
FOXA2,A,G6PC1,1.0
FOXA2,A,CYP7A1,1.0
FOXL2,A,IFNL1,1.0
FOXL2,A,IL11,1.0
FOXL2,A,NR5A2,1.0
FOXL2,A,PPARGC1A,1.0
FOXM1,A,ESR1,1.0
FOXM1,A,CYP7A1,1.0
FOXM1,A,CKS1B,1.0
FOXM1,A,CENPF,1.0
FOXM1,A,CENPB,1.0
FOXM1,A,CENPA,1.0
FOXM1,A,CDX2,1.0
FOXM1,A,CDKN1B,1.0
FOXM1,A,CDKN1A,1.0
FOXM1,A,CDK1,1.0
FOXM1,A,CDC6,1.0
FOXM1,A,CDC25C,1.0
FOXA2,A,CFTR,-1.0
FOXM1,A,CDC25B,1.0
FOXM1,A,CCND2,1.0
FOXM1,A,CCND1,1.0
FOXM1,A,CCNB1,1.0
SPI1,A,CD86,1.0
FOXM1,A,BRCA2,1.0
FOXM1,A,BMI1,1.0
FOXM1,A,BIRC5,1.0
FOXM1,A,AURKB,1.0
FOXL2,A,TNFAIP3,1.0
FOXL2,A,SOD2,1.0
FOXL2,A,SIRT1,1.0
FOXL2,A,PTGS2,1.0
FOXM1,A,CDC25A,1.0
FOXA2,A,CDH1,1.0
FOXA2,A,APOA1,1.0
SPI1,A,CDKN2A,1.0
SPI1,A,FLI1,1.0
SPI1,A,FLII,1.0
SPI1,A,FPR1,-1.0
SPI1,A,HCK,1.0
FOXA1,A,SFTPB,1.0
FOXA1,A,SCGB1A1,1.0
SPI1,A,ICAM1,1.0
FOXA1,A,RPRM,-1.0
SPI1,A,IFIT3,1.0
SPI1,A,IL12B,1.0
FOXA1,A,RET,1.0
SPI1,A,IL1B,1.0
SPI1,A,FES,1.0
SPI1,A,IL5,1.0
SPI1,A,ITGA2B,1.0
SPI1,A,ITGAM,1.0
SPI1,A,ITGAX,-1.0
SPI1,A,ITGB1,1.0
SPI1,A,ITGB2,1.0
SPI1,A,JCHAIN,1.0
SPI1,A,KCNMA1,1.0
SPI1,A,LCP2,1.0
SPI1,A,LSP1,1.0
SPI1,A,LY96,1.0
SPI1,A,MACROD1,-1.0
FOXA1,A,PDX1,1.0
SPI1,A,IL5RA,1.0
FOXM1,A,FOS,1.0
SPI1,A,FCGR1A,1.0
SPI1,A,ERG,1.0
SPI1,A,CIITA,1.0
SPI1,A,CLEC4G,1.0
SPI1,A,CREBBP,1.0
SPI1,A,CSF1,1.0
SPI1,A,CSF1R,1.0
SPI1,A,CSF2,1.0
SPI1,A,CSF2RA,1.0
SPI1,A,CSF3R,1.0
SPI1,A,CTSE,1.0
SPI1,A,CTSG,1.0
FOXA1,A,UGT2B17,1.0
FOXA1,A,UGT2B15,1.0
SPI1,A,FCER1A,1.0
SPI1,A,CTSK,1.0
FOXA1,A,TTR,1.0
SPI1,A,CXCR1,1.0
SPI1,A,CXCR2,1.0
SPI1,A,CYBB,1.0
SPI1,A,DAB2,1.0
SPI1,A,DAPK2,1.0
FOXA1,A,TFF1,1.0
TFAP2C,A,FOXA1,1.0
TFAP2A,A,FOXA1,1.0
SPI1,A,EGR2,1.0
SPI1,A,ELANE,1.0
SPI1,A,ERAP2,1.0
SPI1,A,CTSS,1.0
FOXP1,A,CDKN1A,1.0
FOXM1,A,FOXF1,1.0
FOXM1,A,LAMA2,1.0
FOXO3,A,PLAU,-1.0
FOXO3,A,PINK1,1.0
FOXO3,A,PIK3CA,1.0
FOXO3,A,NOS3,1.0
FOXO3,A,KLF4,1.0
FOXO3,A,JAK1,1.0
FOXO3,A,ID1,1.0
FOXO3,A,HBP1,1.0
FOXO3,A,GALT,1.0
FOXO3,A,GADD45A,1.0
FOXO3,A,G6PC1,1.0
FOXO3,A,FBXO32,1.0
FOXO3,A,FASLG,1.0
FOXO3,A,DUSP6,1.0
FOXO3,A,DUSP5,1.0
FOXO3,A,CITED2,1.0
FOXO3,A,CDKN2D,1.0
FOXO3,A,CDKN2B,1.0
FOXO3,A,CDKN1A,1.0
FOXO3,A,CCNG2,1.0
FOXO3,A,CCND2,-1.0
FOXO3,A,CCND1,-1.0
FOXO3,A,CBLB,1.0
FOXO3,A,CAT,1.0
FOXO3,A,BNIP3L,1.0
FOXO3,A,PRDX3,1.0
FOXO3,A,RBL2,1.0
FOXO3,A,SIRT1,1.0
FOXO3,A,SOD2,1.0
SPI1,A,BCL6,-1.0
SPI1,A,BPI,1.0
SPI1,A,BTK,1.0
SPI1,A,CCL5,1.0
SPI1,A,CD14,1.0
SPI1,A,CD163,1.0
SPI1,A,CD22,1.0
SPI1,A,CD33,1.0
SPI1,A,CD40,1.0
FOXO4,A,TNFSF10,1.0
FOXO4,A,SPRY2,1.0
FOXO4,A,SOD2,1.0
FOXO3,A,BCL2L11,1.0
FOXO4,A,SCP2,1.0
FOXO4,A,PPARGC1A,1.0
FOXO4,A,PCK2,1.0
FOXO4,A,IGFBP1,1.0
FOXO4,A,GADD45A,1.0
FOXO4,A,G6PC1,1.0
FOXO4,A,CDKN1B,1.0
FOXO4,A,CDKN1A,1.0
FOXO4,A,BCL6,1.0
FOXO4,A,BCL2L11,1.0
FOXO3,A,TXNIP,1.0
FOXO3,A,TNFSF10,1.0
FOXO3,A,STK11,1.0
FOXO4,A,RBL2,1.0
FOXO3,A,ABCB1,1.0
FOXO1,A,TXNIP,-1.0
FOXO1,A,TRIM63,1.0
FOXO1,A,CDKN1C,1.0
FOXO1,A,CDKN1B,1.0
FOXO1,A,CDKN1A,1.0
FOXO1,A,CCNG2,1.0
FOXO1,A,CCND2,-1.0
FOXO1,A,CCND1,-1.0
FOXO1,A,CCNB2,-1.0
FOXO1,A,CCNB1,-1.0
FOXO1,A,CAV1,1.0
FOXO1,A,BCL2L11,1.0
SPI1,A,CD58,1.0
FOXO1,A,ANGPT2,1.0
FOXO1,A,CDKN2B,1.0
FOXO1,A,ALPI,1.0
FOXO1,A,ABCB1,1.0
FOXM1,A,XRCC1,1.0
FOXM1,A,VEGFA,1.0
FOXM1,A,SKP2,1.0
SPI1,A,CD68,-1.0
FOXM1,A,PLK1,1.0
FOXM1,A,PECAM1,1.0
FOXM1,A,ONECUT1,1.0
FOXM1,A,MYC,1.0
MYC,A,FOXM1,1.0
FOXM1,A,MMP2,1.0
FOXM1,A,LAMA4,1.0
FOXO1,A,AGRP,1.0
FOXM1,A,ITGB1,1.0
FOXO1,A,CDKN2D,1.0
FOXO1,A,CNR1,-1.0
FOXO1,A,TNFSF10,1.0
FOXO1,A,TMEM47,1.0
FOXO1,A,TIMP3,-1.0
FOXO1,A,SELL,1.0
FOXO1,A,SELENOP,1.0
FOXO1,A,SCP2,1.0
FOXO1,A,RPS6KA3,1.0
FOXO1,A,RAG1,1.0
FOXO1,A,PRL,1.0
FOXO1,A,PPARG,1.0
FOXO1,A,PDK4,1.0
FOXO1,A,PCK2,1.0
FOXO1,A,CNOT8,1.0
FOXO1,A,PCK1,1.0
FOXO1,A,NOS3,1.0
FOXO1,A,MCM5,-1.0
FOXO1,A,KLF2,1.0
FOXO1,A,IL1B,1.0
FOXO1,A,IGFBP1,1.0
FOXO1,A,G6PC1,1.0
SPI1,A,CD53,1.0
FOXO3,A,FOXO1,1.0
FOXO1,A,EIF4EBP1,1.0
FOXO1,A,DUSP4,-1.0
FOXO1,A,DAPK1,1.0
FOXO1,A,DAAM1,1.0
SPI1,A,CD47,1.0
SP1,A,MYC,1.0
SP1,A,MYBL1,1.0
SP1,A,MUC5AC,1.0
SMAD4,A,SMAD7,1.0
SMAD4,A,TGFB1,1.0
SMAD4,A,TNC,1.0
SMAD4,A,TNFRSF11B,1.0
SMAD4,A,ZFP36,1.0
SMAD5,A,ID3,1.0
SNAI1,A,CDH1,-1.0
SNAI1,A,FN1,1.0
GATA3,A,MAF,1.0
SNAI1,A,HBEGF,1.0
SNAI1,A,THBS1,-1.0
SNAI1,A,VDR,-1.0
SNAI2,A,CDH1,-1.0
SNAI2,A,CXCR4,1.0
SNAI2,A,JAG1,1.0
SNAI2,A,VDR,-1.0
SOX10,A,ASCL1,1.0
SOX10,A,COL11A2,1.0
SOX10,A,DCT,-1.0
SOX10,A,EDNRB,1.0
SOX10,A,EGR2,1.0
SOX10,A,GJB1,-1.0
SOX10,A,GJC2,1.0
SOX10,A,MAG,1.0
GATA3,A,KMT2E,1.0
SMAD4,A,SERPINE1,1.0
SMAD4,A,RUNX1T1,1.0
SMAD4,A,PTHLH,1.0
SMAD4,A,POR,1.0
GATA3,A,NETO1,1.0
SMAD3,A,TIMP1,1.0
SMAD3,A,TNC,1.0
SMAD3,A,VEGFA,1.0
SMAD3,A,ZFP36,1.0
SMAD4,A,AHR,1.0
GATA3,A,NCOA3,1.0
SMAD4,A,APOC3,1.0
SMAD4,A,BAMBI,1.0
SMAD4,A,BGLAP,1.0
SMAD4,A,BTRC,-1.0
SMAD4,A,CCN1,1.0
SOX10,A,MBP,1.0
SMAD4,A,CDKN1A,1.0
SMAD4,A,CDKN2B,1.0
SMAD4,A,COL7A1,1.0
SMAD4,A,DACH1,-1.0
GATA3,A,MYC,1.0
SMAD4,A,EPO,1.0
SMAD4,A,FSHB,1.0
SMAD4,A,FSTL3,1.0
SMAD4,A,IHH,1.0
SMAD4,A,MET,1.0
SMAD4,A,MYC,-1.0
SMAD4,A,NKX2-5,1.0
GATA3,A,MDM2,1.0
GATA3,A,MYRIP,1.0
SOX10,A,MPZ,1.0
SOX10,A,PDGFRA,1.0
SOX10,A,PLP1,1.0
SOX2,A,HHAT,1.0
GATA3,A,CDX2,1.0
GATA3,A,CDH1,1.0
GATA3,A,CD8B,1.0
GATA3,A,CD8A,1.0
GATA3,A,CD40LG,1.0
SOX2,A,ISL1,-1.0
GATA3,A,BPIFB1,1.0
GATA3,A,BLCAP,1.0
GATA3,A,BCAS3,1.0
GATA3,A,ATXN10,1.0
GATA3,A,ATP2B1,1.0
SOX2,A,GLI3,1.0
GATA3,A,ARNT2,1.0
SOX2,A,NTRK3,1.0
GATA3,A,ABCC2,1.0
GATA2,A,WT1,1.0
GATA2,A,VWA5A,1.0
SOX2,A,RHO,-1.0
GATA2,A,TNFAIP8L1,1.0
GATA2,A,TGFB2,-1.0
SOX4,A,HDAC8,1.0
SOX4,A,NCAM1,1.0
GATA2,A,SGK1,-1.0
SOX6,A,TP53,1.0
SOX8,A,CLDN23,1.0
GATA3,A,APBA1,1.0
SMAD3,A,TGFB1,-1.0
SOX2,A,GLI2,1.0
GATA3,A,EGFR,1.0
SOX10,A,RET,1.0
SOX10,A,SOX6,1.0
SOX10,A,TYR,1.0
SOX2,A,ABCC6,1.0
GATA3,A,ITPK1,1.0
GATA3,A,IL5,1.0
GATA3,A,IL4R,1.0
GATA3,A,IL4,1.0
GATA3,A,IL2RA,1.0
GATA3,A,IL13,1.0
GATA3,A,IL12RB2,-1.0
GATA3,A,IFNG,1.0
GATA3,A,EDN1,1.0
GATA3,A,GRM7,1.0
GATA3,A,GCNT4,1.0
GATA3,A,GALNT10,1.0
SOX2,A,CCND1,1.0
GATA3,A,FOXC1,-1.0
GATA3,A,FNDC3B,1.0
GATA3,A,FN1,1.0
GATA3,A,FBXO11,1.0
GATA3,A,ERG,1.0
GATA3,A,EPOR,1.0
GATA3,A,EPO,-1.0
GATA3,A,EPHA7,1.0
SOX2,A,DLGAP1,1.0
GATA3,A,GREB1,1.0
SOX9,A,AMH,1.0
SMAD3,A,TERT,-1.0
GATA3,A,NFKB1,1.0
GATA3,A,VAPB,1.0
GATA3,A,UST,1.0
RUNX1,A,RORC,1.0
GATA3,A,TLR5,1.0
GATA3,A,TGFBR3,1.0
GATA3,A,TFF1,1.0
GATA3,A,TET2,1.0
GATA3,A,TEK,1.0
GATA3,A,TCF7L2,1.0
RUNX1,A,SMAD3,1.0
SPI1,A,RUNX1,1.0
RUNX1,A,SPI1,1.0
GATA3,A,SVIL,1.0
GATA3,A,ST8SIA6,1.0
GATA3,A,SST,1.0
GATA3,A,SPEF2,1.0
GATA3,A,SLIT2,1.0
GATA3,A,SLCO4C1,1.0
GATA3,A,SLC24A3,1.0
GATA3,A,SH3KBP1,1.0
GATA3,A,SEPTIN7,1.0
RUNX2,A,IBSP,1.0
RUNX2,A,LGALS3,1.0
RUNX2,A,MMP13,1.0
RUNX3,A,CASP8,1.0
GATA3,A,ZEB1,1.0
RUNX1,A,PRR5L,1.0
RUNX1,A,PRKCQ,1.0
GATA3,A,ZNF217,1.0
GLI2,A,COL5A2,1.0
GLI2,A,CCND1,1.0
GLI2,A,BCL2,1.0
GLI1,A,SLIT2,-1.0
GLI1,A,SFRP1,1.0
GLI1,A,PTCH1,1.0
GLI1,A,IGFBP6,1.0
GLI2,A,GLI1,1.0
GLI1,A,EGR2,-1.0
GLI1,A,CCND2,1.0
GLI1,A,BCL2,1.0
GFI1B,A,MEF2C,-1.0
RUNX3,A,CFLAR,-1.0
GFI1,A,GFI1B,1.0
GCM2,A,PTH,1.0
GATA6,A,CYP17A1,1.0
GATA6,A,APOA1,1.0
GATA4,A,NPPA,1.0
GATA4,A,NOS3,1.0
GATA4,A,IL5,1.0
GATA4,A,ERBB2,-1.0
GATA4,A,CYP17A1,1.0
GATA4,A,ADA,1.0
GATA3,A,ZXDC,1.0
GATA3,A,ZNF507,1.0
RUNX1,A,PRKCB,1.0
GFI1,A,BAX,-1.0
GATA3,A,RHOH,1.0
RUNX3,A,ICAM3,-1.0
RUNX3,A,MMP9,-1.0
SMAD3,A,BAMBI,1.0
SMAD3,A,BGLAP,1.0
SMAD3,A,CCND2,1.0
SMAD3,A,CDKN1A,1.0
GATA3,A,PDE7B,1.0
SMAD3,A,COL1A1,1.0
SMAD3,A,COL3A1,1.0
GATA3,A,PDE3A,1.0
SMAD3,A,COL6A1,1.0
SMAD3,A,COL6A3,1.0
SMAD3,A,COL7A1,1.0
SMAD3,A,CYP17A1,-1.0
SMAD3,A,APOC3,1.0
PAX8,A,GATA3,1.0
SMAD3,A,EPO,1.0
SMAD3,A,FOXP3,1.0
SMAD3,A,FSTL3,1.0
SMAD3,A,GLI2,1.0
SMAD3,A,ITGA11,1.0
SMAD3,A,MET,1.0
SMAD3,A,MMP9,1.0
SMAD3,A,POR,1.0
SMAD3,A,PTHLH,1.0
GATA3,A,NRCAM,1.0
SMAD3,A,SERPINE1,1.0
SMAD3,A,SMAD7,1.0
SMAD3,A,EDN1,1.0
NFKB1,A,GATA3,1.0
SMAD3,A,ANKRD1,1.0
SMAD1,A,TNFRSF11B,1.0
RUNX3,A,RUNX1,-1.0
RELA,A,GATA3,1.0
RUNX3,A,TCF4,1.0
RXRA,A,ABCB11,1.0
RXRA,A,ABCC3,-1.0
GATA3,A,RBMS1,1.0
RXRA,A,CPT1B,1.0
RXRA,A,CXCR5,1.0
RXRA,A,CYP3A4,1.0
RXRA,A,CYP7A1,1.0
RXRA,A,HNF1A,1.0
RXRA,A,HSD17B2,1.0
SMAD3,A,AHR,1.0
RXRA,A,NOL7,1.0
RXRA,A,PLD1,1.0
RXRA,A,SREBF1,1.0
SALL4,A,ABCA3,1.0
SALL4,A,ZEB1,1.0
SATB1,A,CD8B,1.0
SKI,A,SMAD7,1.0
SKIL,A,SMAD7,-1.0
SMAD1,A,CDKN1A,1.0
SMAD1,A,ID2,1.0
SMAD1,A,ID3,1.0
GATA3,A,PPARG,1.0
SMAD1,A,SPP1,1.0
RXRA,A,NR1H3,1.0
SOX9,A,CDKN1A,1.0
SOX9,A,CEACAM1,1.0
SOX9,A,CLDN7,1.0
SP1,A,HLA-G,1.0
SP1,A,HMGA2,1.0
SP1,A,HOXB7,1.0
SP1,A,HPR,1.0
SP1,A,HRAS,1.0
SP1,A,HSD17B1,1.0
GATA2,A,IL1RL1,1.0
SP1,A,HSD17B2,1.0
SP1,A,HSD3B1,1.0
GATA2,A,ICAM4,1.0
GATA2,A,HTR5A,1.0
GATA2,A,HMGB1,1.0
SP1,A,HSPA1A,1.0
SP1,A,HSPB1,1.0
SP1,A,HTR1A,1.0
SP1,A,HTT,1.0
SP1,A,IER3,1.0
SP1,A,IFNGR1,1.0
SP1,A,IGF1R,1.0
GATA2,A,GULP1,-1.0
SP1,A,IGF2,1.0
SP1,A,IGFBP1,1.0
SP1,A,IGFBP3,1.0
SP1,A,IGFBP4,1.0
SP1,A,IL10,1.0
SP1,A,HDAC4,1.0
SP1,A,HCN2,1.0
SP1,A,HBZ,1.0
SP1,A,H4-16,1.0
SP1,A,EDNRB,1.0
SP1,A,EGFR,-1.0
SP1,A,EPO,1.0
SP1,A,EPOR,-1.0
SP1,A,ETS2,1.0
SP1,A,EZR,1.0
GATA2,A,LYL1,1.0
SP1,A,F10,1.0
SP1,A,F2R,1.0
SP1,A,F3,1.0
SP1,A,F7,1.0
SP1,A,FAS,1.0
GATA2,A,GPR146,1.0
SP1,A,FASLG,1.0
SP1,A,FGL2,1.0
SP1,A,FMR1,1.0
SP1,A,FN1,1.0
SP1,A,FOSL1,1.0
SP1,A,FURIN,1.0
SP1,A,FXR2,1.0
SP1,A,GAST,1.0
SP1,A,GCLC,1.0
SP1,A,GFER,1.0
SP1,A,GH2,1.0
SP1,A,GJA1,1.0
SP1,A,GSTP1,1.0
SP1,A,FES,1.0
SP1,A,IL12B,1.0
SP1,A,IL1A,1.0
SP1,A,IL2,1.0
SP1,A,LRP5,1.0
SP1,A,LTC4S,1.0
SP1,A,LTF,1.0
SP1,A,MACROD1,1.0
SP1,A,MAOB,1.0
SP1,A,MAT2A,1.0
SP1,A,MAT2B,1.0
SP1,A,MCL1,1.0
SP1,A,MCTS1,1.0
SP1,A,MET,1.0
SP1,A,MIF,1.0
GATA2,A,EPO,-1.0
SP1,A,LHCGR,1.0
SP1,A,MIP,1.0
SP1,A,MMP11,1.0
GATA2,A,ELMO1,1.0
SP1,A,MMP14,1.0
SP1,A,MMP2,1.0
SP1,A,MMP28,1.0
SP1,A,MMP9,1.0
SP1,A,MNDA,1.0
SP1,A,MPG,1.0
SP1,A,MPO,1.0
GATA2,A,EFCAB2,-1.0
SP1,A,MUC2,1.0
SP1,A,MUC4,1.0
SP1,A,MME,1.0
SP1,A,EAPP,1.0
SP1,A,LEP,1.0
SP1,A,LDHA,1.0
SP1,A,IL2RB,1.0
SP1,A,IL3,1.0
GATA2,A,GATA1,1.0
SP1,A,IMPDH2,1.0
SP1,A,INSR,1.0
SP1,A,IRS2,1.0
SP1,A,ITGA2,1.0
SP1,A,ITGA5,1.0
SP1,A,ITGAD,1.0
SP1,A,ITGAV,-1.0
SP1,A,ITGAX,1.0
SP1,A,IVL,1.0
SP1,A,LDLR,1.0
SP1,A,JUN,1.0
SP1,A,KDR,-1.0
SP1,A,KIF2C,1.0
SP1,A,KIT,1.0
SP1,A,KLF8,1.0
SP1,A,KLK3,1.0
SP1,A,KRT16,1.0
SP1,A,KRT18,1.0
SP1,A,KRT19,1.0
SP1,A,KRT5,1.0
SP1,A,LCAT,1.0
GATA2,A,FDPS,1.0
GATA2,A,FCER1A,1.0
GATA2,A,FOXO3,1.0
SP1,A,DRG2,1.0
SP1,A,DCK,1.0
SP1,A,DBH,1.0
SP1,A,ALOX15B,1.0
SP1,A,ALOX5,1.0
SP1,A,APEX1,-1.0
SP1,A,APOA1,1.0
GATA2,A,PPP1R15A,1.0
SP1,A,APOE,1.0
SP1,A,APP,1.0
SP1,A,AR,1.0
GATA2,A,PPARG,-1.0
GATA2,A,PNPLA8,-1.0
SP1,A,AREG,1.0
GATA2,A,PLSCR2,1.0
SP1,A,ALOX12,1.0
