genesymbol,collection,geneset
KLF6,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
KLF6,hallmark,HALLMARK_IL2_STAT5_SIGNALING
F2RL1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
NFE2L2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
BIRC2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
NFIL3,hallmark,HALLMARK_HYPOXIA
NFIL3,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
NFIL3,hallmark,HALLMARK_IL2_STAT5_SIGNALING
NFIL3,hallmark,HALLMARK_CHOLESTEROL_HOMEOSTASIS
BIRC3,hallmark,HALLMARK_APOPTOSIS
BIRC3,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
PHLDA1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
PHLDA1,hallmark,HALLMARK_IL2_STAT5_SIGNALING
IL6ST,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
IL6ST,hallmark,HALLMARK_IL6_JAK_STAT3_SIGNALING
NFAT5,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
SDC4,hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
SDC4,hallmark,HALLMARK_HYPOXIA
SDC4,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
SPHK1,hallmark,HALLMARK_P53_PATHWAY
SPHK1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
SPHK1,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
ZBTB10,hallmark,HALLMARK_ANDROGEN_RESPONSE
ZBTB10,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
KLF10,hallmark,HALLMARK_TGF_BETA_SIGNALING
KLF10,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CCL2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CCL2,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
CCL2,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
CCL2,hallmark,HALLMARK_ALLOGRAFT_REJECTION
SOD2,hallmark,HALLMARK_APOPTOSIS
SOD2,hallmark,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY
SOD2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
SOD2,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
HBEGF,hallmark,HALLMARK_P53_PATHWAY
HBEGF,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
HBEGF,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
DUSP4,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
SLC16A6,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
PDLIM5,hallmark,HALLMARK_ANDROGEN_RESPONSE
PDLIM5,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
ICAM1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
ICAM1,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
ICAM1,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
ICAM1,hallmark,HALLMARK_APICAL_JUNCTION
ICAM1,hallmark,HALLMARK_ALLOGRAFT_REJECTION
IFIH1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
IFIH1,hallmark,HALLMARK_INTERFERON_ALPHA_RESPONSE
IFIH1,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
TAP1,hallmark,HALLMARK_APOPTOSIS
TAP1,hallmark,HALLMARK_P53_PATHWAY
TAP1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
TAP1,hallmark,HALLMARK_INTERFERON_ALPHA_RESPONSE
TAP1,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
TAP1,hallmark,HALLMARK_ALLOGRAFT_REJECTION
MAP3K8,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
MAP3K8,hallmark,HALLMARK_IL6_JAK_STAT3_SIGNALING
MAP3K8,hallmark,HALLMARK_IL2_STAT5_SIGNALING
NFKBIE,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
SERPINB2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
SERPINB2,hallmark,HALLMARK_COAGULATION
SERPINB2,hallmark,HALLMARK_COMPLEMENT
EHD1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
EHD1,hallmark,HALLMARK_COMPLEMENT
EIF1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
B4GALT5,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
BCL6,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
TNFAIP8,hallmark,HALLMARK_ANDROGEN_RESPONSE
TNFAIP8,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
TNFSF9,hallmark,HALLMARK_P53_PATHWAY
TNFSF9,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
TNFSF9,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
NFKB1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
NFKB1,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
NFKB1,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
JUNB,hallmark,HALLMARK_TGF_BETA_SIGNALING
JUNB,hallmark,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY
JUNB,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CXCL6,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CXCL6,hallmark,HALLMARK_ANGIOGENESIS
CXCL6,hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
CXCL6,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
PTGER4,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
PTGER4,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
RHOB,hallmark,HALLMARK_APOPTOSIS
RHOB,hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
RHOB,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
RHOB,hallmark,HALLMARK_IL2_STAT5_SIGNALING
RCAN1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
BCL3,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
BCL3,hallmark,HALLMARK_ALLOGRAFT_REJECTION
YRDC,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
RELA,hallmark,HALLMARK_APOPTOSIS
RELA,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
RELA,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
BHLHE40,hallmark,HALLMARK_HYPOXIA
BHLHE40,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
BHLHE40,hallmark,HALLMARK_IL2_STAT5_SIGNALING
SGK1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
SGK1,hallmark,HALLMARK_ANDROGEN_RESPONSE
MYC,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
MYC,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
MYC,hallmark,HALLMARK_IL2_STAT5_SIGNALING
PFKFB3,hallmark,HALLMARK_HYPOXIA
PFKFB3,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
GFPT2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
TNFAIP2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
TNFAIP2,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
PER1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
NR4A1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
RIPK2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
RIPK2,hallmark,HALLMARK_INTERFERON_ALPHA_RESPONSE
RIPK2,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
RIPK2,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
RIPK2,hallmark,HALLMARK_ALLOGRAFT_REJECTION
CD83,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CD83,hallmark,HALLMARK_IL2_STAT5_SIGNALING
CXCL10,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CXCL10,hallmark,HALLMARK_INTERFERON_ALPHA_RESPONSE
CXCL10,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
CXCL10,hallmark,HALLMARK_IL6_JAK_STAT3_SIGNALING
CXCL10,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
CXCL10,hallmark,HALLMARK_IL2_STAT5_SIGNALING
DDX58,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
DDX58,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
FOSB,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
PNRC1,hallmark,HALLMARK_HYPOXIA
PNRC1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
PNRC1,hallmark,HALLMARK_CHOLESTEROL_HOMEOSTASIS
FUT4,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
BMP2,hallmark,HALLMARK_P53_PATHWAY
BMP2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
BMP2,hallmark,HALLMARK_APOPTOSIS
BMP2,hallmark,HALLMARK_TGF_BETA_SIGNALING
BMP2,hallmark,HALLMARK_IL2_STAT5_SIGNALING
ABCA1,hallmark,HALLMARK_BILE_ACID_METABOLISM
ABCA1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
ABCA1,hallmark,HALLMARK_PROTEIN_SECRETION
ABCA1,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
PTPRE,hallmark,HALLMARK_P53_PATHWAY
PTPRE,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
PTPRE,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
CD69,hallmark,HALLMARK_APOPTOSIS
CD69,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CD69,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
CD69,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
CXCL2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
DNAJB4,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
GADD45A,hallmark,HALLMARK_APOPTOSIS
GADD45A,hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
GADD45A,hallmark,HALLMARK_P53_PATHWAY
GADD45A,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
STAT5A,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
GCH1,hallmark,HALLMARK_APOPTOSIS
GCH1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
GCH1,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
GCH1,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
LDLR,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
LDLR,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
LDLR,hallmark,HALLMARK_CHOLESTEROL_HOMEOSTASIS
KDM6B,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
JAG1,hallmark,HALLMARK_ANGIOGENESIS
JAG1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
JAG1,hallmark,HALLMARK_CHOLESTEROL_HOMEOSTASIS
SLC2A3,hallmark,HALLMARK_HYPOXIA
SLC2A3,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
SLC2A3,hallmark,HALLMARK_IL2_STAT5_SIGNALING
IL15RA,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
IL15RA,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
IL15RA,hallmark,HALLMARK_IL6_JAK_STAT3_SIGNALING
IL15RA,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
VEGFA,hallmark,HALLMARK_ANGIOGENESIS
VEGFA,hallmark,HALLMARK_HYPOXIA
VEGFA,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
VEGFA,hallmark,HALLMARK_GLYCOLYSIS
VEGFA,hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
PDE4B,hallmark,HALLMARK_DNA_REPAIR
PDE4B,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
PDE4B,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
PDE4B,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
TNC,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
TNC,hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
HES1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CEBPD,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CCL5,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CCL5,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
CCL5,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
CCL5,hallmark,HALLMARK_COMPLEMENT
CCL5,hallmark,HALLMARK_ALLOGRAFT_REJECTION
CXCL11,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CXCL11,hallmark,HALLMARK_INTERFERON_ALPHA_RESPONSE
CXCL11,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
CXCL11,hallmark,HALLMARK_IL6_JAK_STAT3_SIGNALING
CXCL11,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
PPP1R15A,hallmark,HALLMARK_TGF_BETA_SIGNALING
PPP1R15A,hallmark,HALLMARK_HYPOXIA
PPP1R15A,hallmark,HALLMARK_P53_PATHWAY
PPP1R15A,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
LITAF,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CCN1,hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
CCN1,hallmark,HALLMARK_HYPOXIA
CCN1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
KLF2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
TNFAIP6,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
TNFAIP6,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
TNFAIP6,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
ACKR3,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
ACKR3,hallmark,HALLMARK_HYPOXIA
DUSP1,hallmark,HALLMARK_HYPOXIA
DUSP1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CCL20,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CCL20,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
IL6,hallmark,HALLMARK_APOPTOSIS
IL6,hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
IL6,hallmark,HALLMARK_HYPOXIA
IL6,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
IL6,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
IL6,hallmark,HALLMARK_IL6_JAK_STAT3_SIGNALING
IL6,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
IL6,hallmark,HALLMARK_COMPLEMENT
IL6,hallmark,HALLMARK_ALLOGRAFT_REJECTION
EGR3,hallmark,HALLMARK_APOPTOSIS
EGR3,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CSF1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CSF1,hallmark,HALLMARK_INTERFERON_ALPHA_RESPONSE
CSF1,hallmark,HALLMARK_IL6_JAK_STAT3_SIGNALING
CSF1,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
CSF1,hallmark,HALLMARK_IL2_STAT5_SIGNALING
CSF1,hallmark,HALLMARK_ALLOGRAFT_REJECTION
IL12B,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
IL12B,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
IL12B,hallmark,HALLMARK_ALLOGRAFT_REJECTION
CCRL2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CCRL2,hallmark,HALLMARK_INTERFERON_ALPHA_RESPONSE
CCRL2,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
SERPINE1,hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
SERPINE1,hallmark,HALLMARK_TGF_BETA_SIGNALING
SERPINE1,hallmark,HALLMARK_HYPOXIA
SERPINE1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
SERPINE1,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
SERPINE1,hallmark,HALLMARK_COAGULATION
SERPINE1,hallmark,HALLMARK_COMPLEMENT
LAMB3,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
LAMB3,hallmark,HALLMARK_APICAL_JUNCTION
SMAD3,hallmark,HALLMARK_TGF_BETA_SIGNALING
SMAD3,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
GADD45B,hallmark,HALLMARK_APOPTOSIS
GADD45B,hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
GADD45B,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
GADD45B,hallmark,HALLMARK_IL2_STAT5_SIGNALING
DUSP2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
BCL2A1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
DRAM1,hallmark,HALLMARK_P53_PATHWAY
DRAM1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
G0S2,hallmark,HALLMARK_FATTY_ACID_METABOLISM
G0S2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
ETS2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
PTGS2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
PTGS2,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
FJX1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
JUN,hallmark,HALLMARK_HYPOXIA
JUN,hallmark,HALLMARK_P53_PATHWAY
JUN,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
JUN,hallmark,HALLMARK_IL6_JAK_STAT3_SIGNALING
JUN,hallmark,HALLMARK_APOPTOSIS
JUN,hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
SOCS3,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
SOCS3,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
SOCS3,hallmark,HALLMARK_IL6_JAK_STAT3_SIGNALING
B4GALT1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
B4GALT1,hallmark,HALLMARK_ANDROGEN_RESPONSE
B4GALT1,hallmark,HALLMARK_APICAL_JUNCTION
B4GALT1,hallmark,HALLMARK_GLYCOLYSIS
BTG3,hallmark,HALLMARK_APOPTOSIS
BTG3,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
TNFAIP3,hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
TNFAIP3,hallmark,HALLMARK_HYPOXIA
TNFAIP3,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
TNFAIP3,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
TNFAIP3,hallmark,HALLMARK_COMPLEMENT
IRF1,hallmark,HALLMARK_APOPTOSIS
IRF1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
IRF1,hallmark,HALLMARK_INTERFERON_ALPHA_RESPONSE
IRF1,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
IRF1,hallmark,HALLMARK_IL6_JAK_STAT3_SIGNALING
IRF1,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
IRF1,hallmark,HALLMARK_COMPLEMENT
KLF4,hallmark,HALLMARK_P53_PATHWAY
KLF4,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
SPSB1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
DENND5A,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
DENND5A,hallmark,HALLMARK_IL2_STAT5_SIGNALING
CCL4,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CCL4,hallmark,HALLMARK_ALLOGRAFT_REJECTION
TLR2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
TLR2,hallmark,HALLMARK_IL6_JAK_STAT3_SIGNALING
TLR2,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
TLR2,hallmark,HALLMARK_ALLOGRAFT_REJECTION
SLC2A6,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
AREG,hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
AREG,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
NAMPT,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
NAMPT,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
NAMPT,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
OLR1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
OLR1,hallmark,HALLMARK_ANGIOGENESIS
OLR1,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
OLR1,hallmark,HALLMARK_COAGULATION
OLR1,hallmark,HALLMARK_COMPLEMENT
PMEPA1,hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
PMEPA1,hallmark,HALLMARK_ANDROGEN_RESPONSE
PMEPA1,hallmark,HALLMARK_TGF_BETA_SIGNALING
PMEPA1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
EDN1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
EDN1,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
IL1B,hallmark,HALLMARK_APOPTOSIS
IL1B,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
IL1B,hallmark,HALLMARK_IL6_JAK_STAT3_SIGNALING
IL1B,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
IL1B,hallmark,HALLMARK_ALLOGRAFT_REJECTION
NFKB2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
IER2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
IL1A,hallmark,HALLMARK_APOPTOSIS
IL1A,hallmark,HALLMARK_P53_PATHWAY
IL1A,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
IL1A,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
IRS2,hallmark,HALLMARK_HYPOXIA
IRS2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
IRS2,hallmark,HALLMARK_GLYCOLYSIS
TIPARP,hallmark,HALLMARK_HYPOXIA
TIPARP,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
MARCKS,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
IER3,hallmark,HALLMARK_APOPTOSIS
IER3,hallmark,HALLMARK_HYPOXIA
IER3,hallmark,HALLMARK_P53_PATHWAY
IER3,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
IER3,hallmark,HALLMARK_GLYCOLYSIS
IFNGR2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
IFNGR2,hallmark,HALLMARK_IL6_JAK_STAT3_SIGNALING
IFNGR2,hallmark,HALLMARK_TGF_BETA_SIGNALING
IFNGR2,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
IFNGR2,hallmark,HALLMARK_ALLOGRAFT_REJECTION
CDKN1A,hallmark,HALLMARK_HYPOXIA
CDKN1A,hallmark,HALLMARK_P53_PATHWAY
CDKN1A,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CDKN1A,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
CDKN1A,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
CDKN1A,hallmark,HALLMARK_APOPTOSIS
CCNL1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
FOSL1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
